Данные внешнеторгового оборота с сайта: https://wits.worldbank.org/;;;;;;;;
ВВП с сайта ООН: https://data.un.org/;;;;;;;;
Расстояние между столицами можно посмотреть здесь: https://ru.distance.to/;;;;;;;;
;;Год;Экспорт+импорт между странами (в тысячах долларов);ВВП Германии (в тысячах долларов);ВВП страны-партнера (в тысячах долларов);Расстояние от столицы до столицы (км);Наличие общей границы (1-если есть общая граница, 0-в ином случае);
Germany;Partner;year;e&i;gdp_g;p_gdp;dist;cborder;Number
Germany;Austria;2010;116397597.42;3417094562.649;391892746.545;523.91;1;1
Germany;Belgium;2010;106119922.48;3417094562.65;483548031.197;651.51;1;2
Germany;Bulgaria;2010;5211947.97;3417094562.651;50610343.68;1319.23;0;3
Germany;Cyprus;2010;1289784.48;3417094562.652;25560729.794;2489.79;0;4
Germany;Czech Republic;2010;74978496.6;3417094562.653;207477857.919;279.94;1;5
Germany;Denmark;2010;33471166.76;3417094562.654;321995350.347;445.46;1;6
Germany;Spain;2010;75036779.77;3417094562.655;1431616749.64;1870.33;0;7
Germany;Estonia;2010;2162195.43;3417094562.656;19502554.977;1040.71;0;8
Germany;Finland;2010;18329630.2;3417094562.657;247799815.768;1104.89;0;9
Germany;France;2010;201973268.1;3417094562.658;2642609548.93;878.32;0;10
Germany;United Kingdom;2010;129924306.23;3417094562.659;2452899665.124;932.24;0;11
Germany;Greece;2010;10449876.8;3417094562.66;299361576.558;1803.74;0;12
Germany;Croatia;2010;3659090.76;3417094562.661;59865854.205;769.34;0;13
Germany;Hungary;2010;41027333.5;3417094562.662;130922638.689;688.38;0;14
Germany;Ireland;2010;24124434.73;3417094562.663;222134046.003;1317.05;0;15
Germany;Italy;2010;135333056.56;3417094562.664;2125058244.243;1184.57;0;16
Germany;Lithuania;2010;4350088.1;3417094562.665;37130286.201;818.48;0;17
Germany;Luxembourg;2010;11550982.48;3417094562.666;53212476.812;602.83;0;18
Germany;Latvia;2010;2111135.35;3417094562.667;23765168.71;843.26;0;19
Germany;Malta;2010;955489.46;3417094562.668;8740539.199;1849.02;0;20
Germany;Netherlands;2010;174879681.53;3417094562.669;846554894.931;577.54;1;21
Germany;Poland;2010;88068386.27;3417094562.67;479321460.551;516.57;1;22
Germany;Portugal;2010;15893498.44;3417094562.671;238303443.425;2313.56;0;23
Germany;Romania;2010;18706964.04;3417094562.672;166658327.827;1295.15;0;24
Germany;Slovak Republic;2010;23997049.77;3417094562.673;89501012.916;552.82;0;25
Germany;Slovenia;2010;9900250.37;3417094562.674;48013606.724;724.37;0;26
Germany;Sweden;2010;43541749.86;3417094562.675;488909078.695;810.44;0;27
France;Austria;2010;10343361.33;2642609548.93;391892746.545;1033.94;0;28
France;Belgium;2010;85464829.35;2642609548.94;483548031.197;264.39;1;29
France;Bulgaria;2010;1668668.75;2642609548.95;50610343.68;1758.11;0;30
France;Cyprus;2010;491110.67;2642609548.96;25560729.794;2950.30;0;31
France;Czech Republic;2010;10457256.64;2642609548.97;207477857.919;882.31;0;32
France;Germany;2010;186422562.04;2642609548.98;3417094562.675;876.67;1;33
France;Denmark;2010;6578013.01;2642609548.99;321995350.347;948.06;0;34
France;Spain;2010;75164438.11;2642609548.100;1431616749.64;1052.79;1;35
France;Estonia;2010;426008.49;2642609548.101;19502554.977;1859.15;0;36
France;Finland;2010;5381407.84;2642609548.102;247799815.768;1909.34;0;37
France;United Kingdom;2010;60317845.77;2642609548.103;2452899665.124;343.83;0;38
France;Greece;2010;4323316.49;2642609548.104;299361576.558;2096.15;0;39
France;Croatia;2010;556472.97;2642609548.105;59865854.205;1079.81;0;40
France;Hungary;2010;7723794.54;2642609548.106;130922638.689;1244.66;0;41
France;Ireland;2010;10522867.94;2642609548.107;222134046.003;779.47;0;42
France;Italy;2010;86284108.58;2642609548.108;2125058244.243;1107.31;1;43
France;Lithuania;2010;1345159.28;2642609548.109;37130286.201;1696.86;0;44
France;Luxembourg;2010;4633509.34;2642609548.110;53212476.812;294.28;1;45
France;Latvia;2010;465714.15;2642609548.111;23765168.71;1703.78;0;46
France;Malta;2010;1084520.66;2642609548.112;8740539.199;1748.91;0;47
France;Netherlands;2010;46522164.81;2642609548.113;846554894.931;430.64;0;48
France;Poland;2010;16973996.74;2642609548.114;479321460.551;1367.01;0;49
France;Portugal;2010;11126912.51;2642609548.115;238303443.425;1453.17;0;50
France;Romania;2010;7301138.82;2642609548.116;166658327.827;1871.11;0;51
France;Slovak Republic;2010;6187847.19;2642609548.117;89501012.916;1088.79;0;52
France;Slovenia;2010;3167232.93;2642609548.118;48013606.724;964.72;0;53
France;Sweden;2010;14168435.67;2642609548.119;488909078.695;1544.55;0;54
Germany;Austria;2011;131835921.21;3542160228.94;403346978.478;523.91;1;1
Germany;Belgium;2011;118620730.67;3542160228.941;492243705.582;651.51;1;2
Germany;Bulgaria;2011;6245010.46;3542160228.942;51579484.113;1319.23;0;3
Germany;Cyprus;2011;1365644.42;3542160228.943;25663902.459;2489.79;0;4
Germany;Czech Republic;2011;88633906.93;3542160228.944;211166468.132;279.94;1;5
Germany;Denmark;2011;37493575.46;3542160228.945;326299702.618;445.46;1;6
Germany;Spain;2011;79853095.63;3542160228.946;1417318263.21;1870.33;0;7
Germany;Estonia;2011;2877462.23;3542160228.947;20984222.627;1040.71;0;8
Germany;Finland;2011;20981694.16;3542160228.948;254170297.403;1104.89;0;9
Germany;France;2011;233431470.49;3542160228.949;2700554065.669;878.32;0;10
Germany;United Kingdom;2011;153509904.7;3542160228.95;2493244223.349;932.24;0;11
Germany;Greece;2011;9789548.78;3542160228.951;272022397.022;1803.74;0;12
Germany;Croatia;2011;4365905.86;3542160228.952;59662198.722;769.34;0;13
Germany;Hungary;2011;47204167.37;3542160228.953;133092887.526;688.38;0;14
Germany;Ireland;2011;23371427.41;3542160228.954;228764728.523;1317.05;0;15
Germany;Italy;2011;153446310.33;3542160228.955;2137311819.312;1184.57;0;16
Germany;Lithuania;2011;5421532.28;3542160228.956;39374117.951;818.48;0;17
Germany;Luxembourg;2011;12781514.75;3542160228.957;54563666.562;602.83;0;18
Germany;Latvia;2011;2743245.39;3542160228.958;25281601.075;843.26;0;19
Germany;Malta;2011;1034442.53;3542160228.959;8856558.782;1849.02;0;20
Germany;Netherlands;2011;210580636.07;3542160228.96;860638405.154;577.54;1;21
Germany;Poland;2011;105559662.53;3542160228.961;503370477.233;516.57;1;22
Germany;Portugal;2011;16341743.57;3542160228.962;233949991.342;2313.56;0;23
Germany;Romania;2011;23915317.14;3542160228.963;170041127.789;1295.15;0;24
Germany;Slovak Republic;2011;29454604.87;3542160228.964;92024135.539;552.82;0;25
Germany;Slovenia;2011;11697854.32;3542160228.965;48325391.228;724.37;0;26
Germany;Sweden;2011;50337637.13;3542160228.966;502008068.129;810.44;0;27
France;Austria;2011;11891565.37;2700554065.669;403346978.478;1033.94;0;28
France;Belgium;2011;96963216.29;2700554065.670;492243705.582;264.39;1;29
France;Bulgaria;2011;2066637.83;2700554065.671;51579484.113;1758.11;0;30
France;Cyprus;2011;593090.09;2700554065.672;25663902.459;2950.30;0;31
France;Czech Republic;2011;12824765.43;2700554065.673;211166468.132;882.31;0;32
France;Germany;2011;219540496.04;2700554065.674;3542160228.94;876.67;1;33
France;Denmark;2011;7310102.29;2700554065.675;326299702.618;948.06;0;34
France;Spain;2011;85095681.79;2700554065.676;1417318263.21;1052.79;1;35
France;Estonia;2011;580662.78;2700554065.677;20984222.627;1859.15;0;36
France;Finland;2011;5491357.71;2700554065.678;254170297.403;1909.34;0;37
France;United Kingdom;2011;69490022.94;2700554065.679;2493244223.349;343.83;0;38
France;Greece;2011;4682466.49;2700554065.680;272022397.022;2096.15;0;39
France;Croatia;2011;934643.78;2700554065.681;59662198.722;1079.81;0;40
France;Hungary;2011;8946219.62;2700554065.682;133092887.526;1244.66;0;41
France;Ireland;2011;11931979.02;2700554065.683;228764728.523;779.47;0;42
France;Italy;2011;99884175.13;2700554065.684;2137311819.312;1107.31;1;43
France;Lithuania;2011;2159222.17;2700554065.685;39374117.951;1696.86;0;44
France;Luxembourg;2011;5011107.13;2700554065.686;54563666.562;294.28;1;45
France;Latvia;2011;492226.92;2700554065.687;25281601.075;1703.78;0;46
France;Malta;2011;912034.47;2700554065.688;8856558.782;1748.91;0;47
France;Netherlands;2011;56035392.02;2700554065.689;860638405.154;430.64;0;48
France;Poland;2011;20079479.6;2700554065.690;503370477.233;1367.01;0;49
France;Portugal;2011;12240578.21;2700554065.691;233949991.342;1453.17;0;50
France;Romania;2011;8546938.58;2700554065.692;170041127.789;1871.11;0;51
France;Slovak Republic;2011;7072895.29;2700554065.693;92024135.539;1088.79;0;52
France;Slovenia;2011;3285144.39;2700554065.694;48325391.228;964.72;0;53
France;Sweden;2011;16179530.69;2700554065.695;502008068.129;1544.55;0;54
Germany;Austria;2012;119162724;3559587403.263;406091530.302;523.91;1;1
Germany;Belgium;2012;104705455.05;3559587403.264;493399388.915;651.51;1;2
Germany;Bulgaria;2012;6315437.1;3559587403.265;51595458.212;1319.23;0;3
Germany;Cyprus;2012;1029397.2;3559587403.266;24925270.94;2489.79;0;4
Germany;Czech Republic;2012;81974516.77;3559587403.267;209477465.213;279.94;1;5
Germany;Denmark;2012;33658808.22;3559587403.268;327038668.581;445.46;1;6
Germany;Spain;2012;69734933.19;3559587403.269;1375822720.571;1870.33;0;7
Germany;Estonia;2012;2656260.52;3559587403.27;21888067.442;1040.71;0;8
Germany;Finland;2012;18258760.15;3559587403.271;250545347.666;1104.89;0;9
Germany;France;2012;213464894.46;3559587403.272;2709010438.746;878.32;0;10
Germany;United Kingdom;2012;144311539;3559587403.273;2529322974.222;932.24;0;11
Germany;Greece;2012;8412942.64;3559587403.274;252163415.566;1803.74;0;12
Germany;Croatia;2012;4023476.96;3559587403.275;58289593.143;769.34;0;13
Germany;Hungary;2012;44567048.15;3559587403.276;130921605.718;688.38;0;14
Germany;Ireland;2012;18959065.93;3559587403.277;228849725.509;1317.05;0;15
Germany;Italy;2012;132954136;3559587403.278;2077060704.62;1184.57;0;16
Germany;Lithuania;2012;5329160.29;3559587403.279;40880947.405;818.48;0;17
Germany;Luxembourg;2012;10661030.77;3559587403.28;54371319.074;602.83;0;18
Germany;Latvia;2012;2709511.95;3559587403.281;26301609.18;843.26;0;19
Germany;Malta;2012;839851.61;3559587403.282;9096544.493;1849.02;0;20
Germany;Netherlands;2012;200537225.42;3559587403.283;851541135.406;577.54;1;21
Germany;Poland;2012;96206107.98;3559587403.284;511464199.25;516.57;1;22
Germany;Portugal;2012;14173995.58;3559587403.285;224525885.116;2313.56;0;23
Germany;Romania;2012;22851948.57;3559587403.286;172146559.899;1295.15;0;24
Germany;Slovak Republic;2012;28734640.78;3559587403.287;93549112.293;552.82;0;25
Germany;Slovenia;2012;10837053.9;3559587403.288;47035305.201;724.37;0;26
Germany;Sweden;2012;44784922.01;3559587403.289;500509511.891;810.44;0;27
France;Austria;2012;11467324.06;2709010438.746;406091530.302;1033.94;0;28
France;Belgium;2012;91317936.74;2709010438.747;493399388.915;264.39;1;29
France;Bulgaria;2012;1920620.43;2709010438.748;51595458.212;1758.11;0;30
France;Cyprus;2012;595466;2709010438.749;24925270.94;2950.30;0;31
France;Czech Republic;2012;11339951.5;2709010438.750;209477465.213;882.31;0;32
France;Germany;2012;207901087.08;2709010438.751;3559587403.289;876.67;1;33
France;Denmark;2012;6515086.94;2709010438.752;327038668.581;948.06;0;34
France;Spain;2012;77858641.28;2709010438.753;1375822720.571;1052.79;1;35
France;Estonia;2012;672670.2;2709010438.754;21888067.442;1859.15;0;36
France;Finland;2012;4697516.25;2709010438.755;250545347.666;1909.34;0;37
France;United Kingdom;2012;66958189.24;2709010438.756;2529322974.222;343.83;0;38
France;Greece;2012;3747274.27;2709010438.757;252163415.566;2096.15;0;39
France;Croatia;2012;650683.54;2709010438.758;58289593.143;1079.81;0;40
France;Hungary;2012;7817427.02;2709010438.759;130921605.718;1244.66;0;41
France;Ireland;2012;11823432.82;2709010438.760;228849725.509;779.47;0;42
France;Italy;2012;89441585.37;2709010438.761;2077060704.62;1107.31;1;43
France;Lithuania;2012;2212542.25;2709010438.762;40880947.405;1696.86;0;44
France;Luxembourg;2012;4464591.16;2709010438.763;54371319.074;294.28;1;45
France;Latvia;2012;695473.69;2709010438.764;26301609.18;1703.78;0;46
France;Malta;2012;787786.37;2709010438.765;9096544.493;1748.91;0;47
France;Netherlands;2012;53146015.85;2709010438.766;851541135.406;430.64;0;48
France;Poland;2012;18752924.96;2709010438.767;511464199.25;1367.01;0;49
France;Portugal;2012;10886014.26;2709010438.768;224525885.116;1453.17;0;50
France;Romania;2012;7467257.62;2709010438.769;172146559.899;1871.11;0;51
France;Slovak Republic;2012;6619989.05;2709010438.770;93549112.293;1088.79;0;52
France;Slovenia;2012;2665128.98;2709010438.771;47035305.201;964.72;0;53
France;Sweden;2012;14058580.39;2709010438.772;500509511.891;1544.55;0;54
Germany;Austria;2013;123094282.95;3577014590.830;406195100.294;523.91;1;1
Germany;Belgium;2013;108096626.17;3577014590.831;494389453.104;651.51;1;2
Germany;Bulgaria;2013;7134727.42;3577014590.832;51850284.342;1319.23;0;3
Germany;Cyprus;2013;1304618.71;3577014590.833;23479794.088;2489.79;0;4
Germany;Czech Republic;2013;85069468.2;3577014590.834;208464283.377;279.94;1;5
Germany;Denmark;2013;36367547.15;3577014590.835;330091081.645;445.46;1;6
Germany;Spain;2013;73014207.45;3577014590.836;1352355243.630;1870.33;0;7
Germany;Estonia;2013;2892386.14;3577014590.837;22311939.377;1040.71;0;8
Germany;Finland;2013;18884490.22;3577014590.838;248646122.996;1104.89;0;9
Germany;France;2013;216087166.53;3577014590.839;2724623188.674;878.32;0;10
Germany;United Kingdom;2013;147021587.75;3577014590.840;2581081905.264;932.24;0;11
Germany;Greece;2013;8643497.04;3577014590.841;243989727.386;1803.74;0;12
Germany;Croatia;2013;3954355.04;3577014590.842;58002944.004;769.34;0;13
Germany;Hungary;2013;49113619.93;3577014590.843;133662635.657;688.38;0;14
Germany;Ireland;2013;18910889.6;3577014590.844;232600157.167;1317.05;0;15
Germany;Italy;2013;132950158.71;3577014590.845;2041165755.679;1184.57;0;16
Germany;Lithuania;2013;5603039.79;3577014590.846;42311200.356;818.48;0;17
Germany;Luxembourg;2013;11210012.89;3577014590.847;56358248.456;602.83;0;18
Germany;Latvia;2013;2725494.03;3577014590.848;26940720.636;843.26;0;19
Germany;Malta;2013;1117389.65;3577014590.849;9515857.276;1849.02;0;20
Germany;Netherlands;2013;212015211.7;3577014590.850;849920318.795;577.54;1;21
Germany;Poland;2013;104220093.41;3577014590.851;518583225.550;516.57;1;22
Germany;Portugal;2013;15232141.49;3577014590.852;221988392.734;2313.56;0;23
Germany;Romania;2013;24976404.69;3577014590.853;178226015.350;1295.15;0;24
Germany;Slovak Republic;2013;30397831.93;3577014590.854;94943598.803;552.82;0;25
Germany;Slovenia;2013;11531472.06;3577014590.855;46502839.729;724.37;0;26
